Feature,RF_Importance,XGB_Importance,Permutation_Importance,RF_Norm,XGB_Norm,PERM_Norm,Ensemble_Score
output_hybrid_lag_1,0.9053086250391722,0.5381042,1.8151998143059678,1.0,1.0,1.0,1.0
surface_radiation_lag_22,0.009459902612343083,0.041181717,0.010576925104353763,0.010310430489922275,0.075133264,0.005776624515865246,0.030406773023525447
surface_radiation_lag_70,0.00951086468276144,0.04010192,0.010110127456475992,0.010366730876662856,0.07312355,0.005519451044378128,0.029669911275398725
surface_radiation_lag_46,0.006307478741724978,0.034048513,0.0050197124793906365,0.006827787778802984,0.06185702,0.0027149817054284,0.023799929368002386
output_hybrid_lag_2,0.010899073209275264,0.016169107,0.027446068215020138,0.01190035532083669,0.028580058,0.015070364778924667,0.01851692615527387
wind_velocity_lag_1,0.010175404732128199,0.012030018,0.03990595745527812,0.011100882010571194,0.02087643,0.02193490873031403,0.017970740238639343
surface_radiation_lag_23,0.0024382180484363823,0.018177213,0.0032923129862989287,0.0025532190329890614,0.032317523,0.0017633031219925956,0.0122113483560664
upper_atmospheric_radiation_lag_26,0.0006644947717288714,0.018970963,0.0004106330006980241,0.0005936968701408123,0.033794843,0.0001756951959861112,0.011521411575518005
surface_radiation_lag_47,0.0021066065313148346,0.0168612,0.0019326627647172855,0.0021868709527735264,0.029868176,0.0010142291515429008,0.011023092103754267
output_hybrid_lag_3,0.005025409982563838,0.010113975,0.005345421205385825,0.005411421324766827,0.017310312,0.0028944248627336025,0.008538719401766285
output_hybrid_lag_22,0.0024290323021448536,0.010225592,0.0023460181138709292,0.0025430710726635003,0.017518053,0.0012419595837396104,0.007101027829231755
upper_atmospheric_radiation_lag_2,0.0008026603632499343,0.011377862,0.00047794075363831733,0.000746335414317287,0.019662645,0.00021277714907723944,0.006873919092503859
wind_velocity_lag_2,0.0036447421383168314,0.006103262,0.010254986838974666,0.0038861274551639335,0.009845615,0.005599258623623727,0.006443667147799603
upper_atmospheric_radiation_lag_50,0.0010369075817068137,0.010102294,0.0006498715797166432,0.0010051202102206573,0.017288571,0.0003074992360441146,0.006200396889960457
upper_atmospheric_radiation_lag_70,0.0004721242321326689,0.01011207,0.00037436360333658046,0.0003811753676223585,0.017306766,0.00015571324691118665,0.005947884718655944
upper_atmospheric_radiation_lag_23,0.0002841384160682434,0.0101187695,0.00019923031379536215,0.0001734978918195196,0.017319236,5.922682233505607e-05,0.005850653554954322
surface_radiation_lag_2,0.0016340325660876868,0.008897516,0.0014007780987129626,0.0016647944989049135,0.015046251,0.0007211971994562118,0.005810747568261851
upper_atmospheric_radiation_lag_60,0.00012725166953642057,0.009205687,9.172722960316681e-05,1.7713715427146674e-07,0.015619815,0.0,0.005206664154793796
surface_radiation_lag_26,0.0012970290030530596,0.0074793682,0.001181789624497187,0.0012924895517933276,0.01240681,0.0006005495775459897,0.004766616438714219
upper_atmospheric_radiation_lag_49,0.0003596613416868127,0.007554832,0.00021959238044526596,0.0002569319023532438,0.012547262,7.044492377754451e-05,0.004291546279696439
surface_radiation_lag_49,0.0007314324837975151,0.006593649,0.0005287318075317682,0.0006676463593600889,0.010758318,0.00024075953439913018,0.003888907966917187
surface_radiation_lag_62,0.0003808678563555045,0.0067071724,0.00031692980592503697,0.0002803598158478472,0.010969607,0.00012407116574782552,0.003791346047030342
upper_atmospheric_radiation_lag_12,0.00013790066162626096,0.0065088435,0.0001271281742057151,1.1941619408105534e-05,0.010600479,1.9503491199562327e-05,0.0035439748100997755
wind_velocity_lag_3,0.0021658646031457564,0.0046480447,0.0022182776531380565,0.002252336353495949,0.007137181,0.0011715833556557903,0.0035203668269434747
upper_atmospheric_radiation_lag_71,0.00031783884639638454,0.0062930556,0.00029332416428078377,0.00021072846830949896,0.010198858,0.00011106607706339608,0.003506884060210841
surface_radiation_lag_50,0.0014366797244932535,0.00504334,0.0011477156979949553,0.0014467687943974894,0.0078729,0.0005817771822573349,0.003300481990302979
surface_radiation_lag_36,0.00025997438481827187,0.0058570825,0.00020758494760186874,0.0001468026595925565,0.009387429,6.382965225245432e-05,0.0031993537280440953
upper_atmospheric_radiation_lag_13,0.00015484249706797947,0.005846839,0.0001245985176696718,3.0658125225743156e-05,0.009368364,1.810982403778031e-05,0.003139043905708614
upper_atmospheric_radiation_lag_46,0.0005078143016358229,0.0053305146,0.0003510031745098341,0.0004206039995309631,0.008407387,0.00014284325366225925,0.002990278068113911
output_hybrid_lag_47,0.0013743330174019336,0.0039403928,0.0012585503335961977,0.0013778912214804625,0.0058201067,0.0006428394608017306,0.0026136124657487017
