feature,MI Score
output_hybrid_lag_1,1.2448965043034503
output_hybrid_lag_2,0.646361244596374
wind_velocity_lag_1,0.6363938638964388
wind_velocity_lag_2,0.3921855461428718
output_hybrid_lag_3,0.3606718510134792
surface_radiation_lag_1,0.3051350897915146
surface_radiation_lag_48,0.28611119793800865
surface_radiation_lag_24,0.2860162762165568
upper_atmospheric_radiation_lag_24,0.2830885381186916
upper_atmospheric_radiation_lag_72,0.2770433241883903
upper_atmospheric_radiation_lag_48,0.27678817757418006
surface_radiation_lag_72,0.273839867000115
upper_atmospheric_radiation_lag_1,0.268187582945266
upper_atmospheric_radiation_lag_25,0.2666202098683703
surface_radiation_lag_49,0.26306011342603464
upper_atmospheric_radiation_lag_49,0.2629234391798887
surface_radiation_lag_25,0.2609678861617377
upper_atmospheric_radiation_lag_47,0.24038177275610417
upper_atmospheric_radiation_lag_23,0.2387559176838323
surface_radiation_lag_71,0.23560998564558266
surface_radiation_lag_23,0.23543781331620028
upper_atmospheric_radiation_lag_71,0.23394205704378468
wind_velocity_lag_3,0.23386779700421823
surface_radiation_lag_2,0.2296987452369459
surface_radiation_lag_47,0.22887173374212866
output_hybrid_lag_24,0.22339951082927723
output_hybrid_lag_23,0.22109973512262826
surface_radiation_lag_26,0.202180391945602
upper_atmospheric_radiation_lag_2,0.1973141467127233
upper_atmospheric_radiation_lag_36,0.19575677704129646
upper_atmospheric_radiation_lag_60,0.19476029731312305
upper_atmospheric_radiation_lag_61,0.19365779729447752
upper_atmospheric_radiation_lag_26,0.192833946414106
upper_atmospheric_radiation_lag_50,0.19027052759813712
upper_atmospheric_radiation_lag_37,0.18762881528294084
upper_atmospheric_radiation_lag_12,0.18729174402699256
output_hybrid_lag_72,0.18715987930263545
upper_atmospheric_radiation_lag_13,0.18665986052323724
surface_radiation_lag_50,0.18602921912252546
surface_radiation_lag_37,0.18117807940326758
output_hybrid_lag_25,0.1808290296537569
surface_radiation_lag_60,0.17889409178284454
surface_radiation_lag_61,0.1762872585999169
surface_radiation_lag_13,0.17390885954109514
output_hybrid_lag_22,0.17232978253316666
upper_atmospheric_radiation_lag_46,0.17223149505728141
upper_atmospheric_radiation_lag_22,0.1716606527079101
surface_radiation_lag_36,0.17134645572629648
output_hybrid_lag_49,0.16971331606048867
surface_radiation_lag_46,0.16932228343679512
surface_radiation_lag_12,0.1670922777488406
surface_radiation_lag_70,0.16672682211194445
output_hybrid_lag_71,0.16654907857399248
upper_atmospheric_radiation_lag_38,0.16616280344589596
output_hybrid_lag_48,0.16555922823991587
output_hybrid_lag_47,0.16494496649512147
surface_radiation_lag_22,0.16391062247424326
upper_atmospheric_radiation_lag_62,0.16185419455457728
upper_atmospheric_radiation_lag_70,0.16138724788050718
upper_atmospheric_radiation_lag_14,0.15930762220863226
surface_radiation_lag_14,0.15872844723340895
surface_radiation_lag_62,0.15789498116026257
upper_atmospheric_radiation_lag_59,0.1566786273054901
surface_radiation_lag_59,0.152663401248744
upper_atmospheric_radiation_lag_35,0.14940293109372282
surface_radiation_lag_38,0.149266355767248
surface_radiation_lag_3,0.1478930292876699
upper_atmospheric_radiation_lag_3,0.1407092769298508
upper_atmospheric_radiation_lag_11,0.14004827432883182
temperature_lag_23,0.1393480346042537
surface_radiation_lag_35,0.13107169384206863
temperature_lag_71,0.1303757375207537
surface_radiation_lag_11,0.1294376254427898
temperature_lag_22,0.12640060800453412
output_hybrid_lag_50,0.12608701143736223
output_hybrid_lag_26,0.12478369030989533
temperature_lag_47,0.12410044960056954
temperature_lag_46,0.12132699436013716
temperature_lag_70,0.11740742692104522
temperature_lag_72,0.116035895290314
output_hybrid_lag_46,0.11527783742682818
upper_atmospheric_radiation_lag_34,0.11028873829534058
output_hybrid_lag_70,0.10900049537480871
upper_atmospheric_radiation_lag_58,0.10881207871103937
upper_atmospheric_radiation_lag_10,0.10850405633665616
surface_radiation_lag_10,0.1052293356632723
temperature_lag_48,0.10122544281626311
humidity_lag_70,0.09958885336008683
surface_radiation_lag_58,0.09879239332951162
temperature_lag_25,0.09642579694414266
air_density_lag_21,0.09617566935637978
air_density_lag_45,0.09478083871850274
humidity_lag_3,0.09235750198669912
temperature_lag_24,0.09221548395297674
humidity_lag_23,0.09217778367434315
temperature_lag_49,0.09192302481156034
humidity_lag_22,0.0908831954400724
humidity_lag_72,0.09065391169272319
humidity_lag_24,0.08949436398397914
humidity_lag_21,0.08901865094330752
humidity_lag_71,0.08844398444798651
humidity_lag_45,0.08749222170193116
surface_radiation_lag_34,0.08748712425607419
humidity_lag_1,0.08702296477774007
humidity_lag_25,0.08586087129450526
air_density_lag_3,0.08451652018994871
air_density_lag_49,0.08363340974331734
air_density_lag_70,0.08086399149533374
humidity_lag_47,0.0797686576469645
humidity_lag_2,0.07975195840560412
humidity_lag_46,0.07972854755138137
air_density_lag_46,0.07959561297922324
temperature_lag_3,0.07823681594278398
humidity_lag_48,0.0776766103593074
air_density_lag_22,0.07743953216770283
temperature_lag_1,0.07617922230931828
temperature_lag_2,0.07502781459828078
air_density_lag_24,0.07422608154081978
air_density_lag_23,0.07343265832939228
air_density_lag_2,0.07132114778474108
humidity_lag_49,0.0709436694472858
air_density_lag_47,0.06887293381127968
air_density_lag_1,0.06842796445695587
air_density_lag_48,0.06788124204937152
air_density_lag_25,0.06725495892650013
air_density_lag_71,0.06623945836680001
air_density_lag_72,0.06414946552031697
temperature_lag_26,0.05869458073041489
temperature_lag_50,0.056135814264404615
