Feature,RF_Importance,XGB_Importance,Permutation_Importance,RF_Norm,XGB_Norm,PERM_Norm,Ensemble_Score,Cumulative_Contribution
output_hybrid_lag_1,0.9053086250391722,0.5381042,1.815199814305968,1.0,1.0,1.0,1.0,0.7626538559634483
surface_radiation_lag_22,0.009459902612343,0.041181717,0.0105769251043537,0.0103104304899222,0.075133264,0.0057766245158652,0.0304067730235254,0.7858436986572452
surface_radiation_lag_70,0.0095108646827614,0.04010192,0.0101101274564759,0.0103667308766628,0.07312355,0.0055194510443781,0.0296699112753987,0.8084715708975214
surface_radiation_lag_46,0.0063074787417249,0.034048513,0.0050197124793906,0.0068277877788029,0.06185702,0.0027149817054284,0.0237999293680023,0.826622678801686
output_hybrid_lag_2,0.0108990732092752,0.016169107,0.0274460682150201,0.0119003553208366,0.028580058,0.0150703647789246,0.0185169261552738,0.840744683934596
wind_velocity_lag_1,0.0101754047321281,0.012030018,0.0399059574552781,0.0111008820105711,0.02087643,0.021934908730314,0.0179707402386393,0.8544501382721118
surface_radiation_lag_23,0.0024382180484363,0.018177213,0.0032923129862989,0.002553219032989,0.032317523,0.0017633031219925,0.0122113483560664,0.8637631701823787
upper_atmospheric_radiation_lag_26,0.0006644947717288,0.018970963,0.000410633000698,0.0005936968701408,0.033794843,0.0001756951959861,0.011521411575518,0.8725500191465895
surface_radiation_lag_47,0.0021066065313148,0.0168612,0.0019326627647172,0.0021868709527735,0.029868176,0.0010142291515429,0.0110230921037542,0.8809568228441578
output_hybrid_lag_3,0.0050254099825638,0.010113975,0.0053454212053858,0.0054114213247668,0.017310312,0.0028944248627336,0.0085387194017662,0.8874689101209046
output_hybrid_lag_22,0.0024290323021448,0.010225592,0.0023460181138709,0.0025430710726635,0.017518053,0.0012419595837396,0.0071010278292317,0.8928845363761718
upper_atmospheric_radiation_lag_2,0.0008026603632499,0.011377862,0.0004779407536383,0.0007463354143172,0.019662645,0.0002127771490772,0.0068739190925038,0.8981269572776507
wind_velocity_lag_2,0.0036447421383168,0.006103262,0.0102549868389746,0.0038861274551639,0.009845615,0.0055992586236237,0.0064436671477996,0.903041244874465
upper_atmospheric_radiation_lag_50,0.0010369075817068,0.010102294,0.0006498715797166,0.0010051202102206,0.017288571,0.0003074992360441,0.0062003968899604,0.9077700014710971
